Make,Chevrolet,,Make,Toyota,,"Ho: ?1 - ?2 = 0
Ha: ?1 - ?2 ? 0",,,,,,
,,,,,,,,,,,,
Row Labels,Sum of Annual Fuel Cost (FT1),,Row Labels,Sum of Annual Fuel Cost (FT1),,,,,,,,
1764,"$1,850",,5492,"$1,350",,,,,,,,
1765,"$1,950",,5493,"$1,050",,,,,,,,
1766,"$1,450",,5494,"$1,200",,,,,,,,
1767,"$1,300",,5632,"$1,650",,,,,,,,
1768,"$1,300",,5633,"$1,450",,,,,,,,
1769,"$1,050",,5634,"$1,400",,,,,,,,
1770,"$1,200",,5635,"$1,400",,,,,,,,
1771,"$1,050",,5636,"$1,650",,,,,,,,
1772,$950,,5637,"$1,850",,,,,,,,
1773,$850,,5638,"$1,850",,,,,,,,
1958,"$1,600",,5639,"$2,250",,,,,,,,
1959,"$1,400",,5854,"$1,450",,,,,,,,
1960,"$1,450",,5855,"$1,400",,,,,,,,
1961,"$1,850",,5856,"$1,850",,,,,,,,
1962,"$1,850",,5857,"$1,500",,,,,,,,
1963,"$1,350",,5858,"$1,600",,,,,,,,
1964,"$1,200",,5859,"$1,400",,,,,,,,
2107,"$1,500",,5860,"$1,250",,,,,,,,
2108,"$1,450",,5944,"$1,750",,,,,,,,
2109,"$1,850",,5945,"$1,650",,,,,,,,
2110,"$1,750",,5946,"$1,750",,,,,,,,
2111,"$1,850",,5947,"$1,650",,,,,,,,
2112,"$1,750",,5948,"$1,650",,,,,,,,
2113,"$1,950",,5949,"$1,850",,,,,,,,
2114,"$1,850",,5950,"$1,850",,,,,,,,
2115,"$1,950",,6051,"$1,850",,,,,,,,
2210,"$1,950",,6052,"$1,850",,,,,,,,
2211,"$1,850",,6147,"$2,050",,,,,,,,
2212,"$1,950",,6148,"$1,950",,,,,,,,
2213,"$1,850",,6149,"$2,350",,,,,,,,
2214,"$2,500",,6150,"$2,200",,,,,,,,
2234,"$1,600",,6203,"$1,750",,,,,,,,
2235,"$1,400",,6204,"$1,750",,,,,,,,
2236,"$1,450",,6205,"$1,950",,,,,,,,
2237,"$1,850",,6242,"$1,750",,,,,,,,
2238,"$1,850",,6243,"$1,750",,,,,,,,
2292,"$1,500",,6244,"$1,950",,,,,,,,
2293,"$1,450",,6245,"$1,850",,,,,,,,
2294,"$1,850",,6374,"$2,900",,,,,,,,
2295,"$1,850",,6375,"$2,050",,,,,,,,
2296,"$1,950",,6376,"$1,950",,,,,,,,
2297,"$1,850",,6377,"$2,350",,,,,,,,
2338,"$2,200",,6378,"$2,200",,,,,,,,
2339,"$2,050",,6387,"$3,500",,,,,,,,
2345,"$1,650",,6388,"$2,900",,,,,,,,
2346,"$1,600",,6438,"$1,500",,,,,,,,
2347,"$1,450",,6439,"$1,600",,,,,,,,
2348,"$1,950",,6612,"$1,400",,,,,,,,
2349,"$1,950",,6613,"$1,350",,,,,,,,
2350,"$1,950",,6614,"$2,250",,,,,,,,
2417,"$2,050",,6615,"$1,600",,,,,,,,
2418,"$2,200",,6616,"$1,450",,,,,,,,
2419,"$2,050",,6617,"$1,600",,,,,,,,
2420,"$2,200",,6618,"$1,450",,,,,,,,
2421,"$2,050",,6619,"$1,500",,,,,,,,
2422,"$2,200",,6620,"$1,400",,,,,,,,
2423,"$2,050",,6621,"$1,600",,,,,,,,
2424,"$2,350",,6622,"$1,350",,,,,,,,
2425,"$2,350",,6623,"$1,700",,,,,,,,
2426,"$2,350",,6624,"$2,350",,,,,,,,
2427,"$2,500",,6625,"$2,350",,,,,,,,
2428,"$2,350",,6626,"$2,350",,,,,,,,
2429,"$2,050",,6627,"$2,500",,,,,,,,
2430,"$2,050",,6628,"$1,300",,,,,,,,
2431,"$2,050",,6629,"$1,200",,,,,,,,
2432,"$2,200",,6630,"$1,250",,,,,,,,
2433,"$2,350",,6631,"$1,400",,,,,,,,
2434,"$2,350",,6761,"$1,450",,,,,,,,
2435,"$2,900",,6762,"$1,750",,,,,,,,
2436,"$2,700",,6763,"$1,450",,,,,,,,
2437,"$2,250",,6764,"$1,650",,,,,,,,
2438,"$2,250",,6765,"$1,350",,,,,,,,
2439,"$2,050",,6766,"$1,850",,,,,,,,
2440,"$1,950",,6767,"$1,850",,,,,,,,
2441,"$2,200",,6768,"$2,250",,,,,,,,
2442,"$2,050",,6937,"$1,450",,,,,,,,
2514,"$2,350",,6938,"$1,850",,,,,,,,
2515,"$2,350",,6939,"$1,500",,,,,,,,
2516,"$2,350",,6940,"$1,600",,,,,,,,
2517,"$2,700",,6941,"$1,450",,,,,,,,
2518,"$2,350",,6942,"$1,350",,,,,,,,
2519,"$2,900",,7112,"$1,750",,,,,,,,
2520,"$2,500",,7113,"$1,750",,,,,,,,
2521,"$2,900",,7114,"$1,650",,,,,,,,
2522,"$2,500",,7115,"$1,500",,,,,,,,
2523,"$2,900",,7116,"$1,650",,,,,,,,
2524,"$2,250",,7117,"$1,850",,,,,,,,
2525,"$2,250",,7118,"$1,850",,,,,,,,
2526,"$2,250",,7119,"$1,850",,,,,,,,
2527,"$2,900",,7120,"$1,850",,,,,,,,
2528,"$3,200",,7221,"$2,050",,,,,,,,
2529,"$2,250",,7222,"$1,950",,,,,,,,
2530,"$2,400",,7223,"$2,350",,,,,,,,
2531,"$1,750",,7224,"$2,200",,,,,,,,
